ID,Gender,Age,Marital Status,Job,Employment Status,Your Phone Model,Your bank information,How many years you are using internet banking application,How many years you are using mobile banking application,Do you find mobile application user-friendly,Internet banking usage frequency,Mobile banking usage frequency,Credit card debt inquiry,Credit card debt payment,Credit card limit transactions,Create & delete virtual card,Virtual card limit transactions,An additional new card application,Opening a new account,Balance check,Loan transaction,Transfer money to previously transferred account.,Transfer money to new account.,Invoice payment (If it is automatic payment than choose once in a day),Government payments,GSM transactions,Rent payment,Lottery transactions,HGS / OGS transactions,Tax / penalty transactions,SGK transactions,Bill transactions,Salary payment,Investment account transactions,Foreign money exchange transactions,Gold transactions,Investment fund transactions,Stock transactions,Public offering operations,Repo transactions,Bond transactions,Instant stock exchange transactions,Consumer credit usage,My credit accounts,Applying for mortgage ,Applying for car loan,Findeks risk report,New card application,New account opening,Request status,Foreign exchange calculation,Loan calculation,Make an appointment at a bank branch,Donate transactions,View payment schedule,View bank campaigns,Mobile signature use,Communicating with the bank
1,Man,36-40,Married,,Private sector,SONY,Garanti,15+,7,Yes,Several times in a day,Several times in a day,Once in a day,Once in a day,Once in a week,Once in a day,Once in a day,I Prefer Internet Banking,I Prefer Internet Banking,Once in a day,I Prefer Internet Banking,Once in a day,Once in a day,Once in a day,Several times in a month,Once in a month,Once in a month,Once in a month,Never,Several times in a month,Never,,Never,Never,Never,Never,Never,Never,Never,Several times in a month,Never,-,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,,Never
2,Woman,31-35,Married,purchasing,Private sector,SAMSUNG A5,Akbank,10+,7,Yes,Several times in a month,Several times in a month,Several times in a month,Once in a month,Once or several times a year,Once or several times a year,Once in a month,Once or several times a year,Once or several times a year,Once in a month,Several times in a month,Once in a month,Once or several times a year,Several times in a month,Once or several times a year,Once in a month,Once in a month,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
3,Woman,20-24,Single,trainer,Private sector,Iphone ,Garanti,0-5,5,No,Several times in a week,Several times in a day,Several times in a month,Several times in a month,I Prefer Internet Banking,Never,Never,Never,Never,Several times in a day,Never,Several times in a day,Several times in a day,Once in a day,Once in a day,Once in a day,Once in a day,Never,Once in a day,Once in a day,Once in a day,Never,Several times in a day,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,I Prefer Internet Banking,I Prefer Internet Banking,I Prefer Internet Banking,Never,Never,Never,Never,I Prefer Internet Banking,I Prefer Internet Banking,Never,Never
4,Woman,20-24,Single,trainer,Private sector,Iphone ,Z?RAAT,0-5,5,No,Several times in a week,Several times in a day,Several times in a month,Several times in a month,I Prefer Internet Banking,Never,Never,Never,Never,Several times in a day,Never,Several times in a day,Several times in a day,Once in a day,Once in a day,Once in a day,Once in a day,Never,Once in a day,Once in a day,Once in a day,Never,Several times in a day,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,I Prefer Internet Banking,I Prefer Internet Banking,I Prefer Internet Banking,Never,Never,Never,Never,I Prefer Internet Banking,I Prefer Internet Banking,Never,Never
5,Woman,20-24,Single,trainer,Private sector,Iphone ,Isbank,0-5,5,No,Several times in a week,Several times in a day,Several times in a month,Several times in a month,I Prefer Internet Banking,Never,Never,Never,Never,Several times in a day,Never,Several times in a day,Several times in a day,Once in a day,Once in a day,Once in a day,Once in a day,Never,Once in a day,Once in a day,Once in a day,Never,Several times in a day,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,I Prefer Internet Banking,I Prefer Internet Banking,I Prefer Internet Banking,Never,Never,Never,Never,I Prefer Internet Banking,I Prefer Internet Banking,Never,Never
6,Man,25-30,Single,,Private sector,SAMSUNG S6,Akbank,0-5,3,Yes,Several times in a month,Once in a week,Never,Never,Never,I Prefer Internet Banking,I Prefer Internet Banking,Never,Never,Several times in a month,Never,Once in a month,Once or several times a year,Several times in a month,Several times in a month,Once in a month,Never,Never,Never,Never,Never,Never,Never,I Prefer Internet Banking,Several times in a month,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Once in a month,Never,Never,Never,I Prefer Internet Banking,Never,Never,Never
7,Man,25-30,Single,computer engineer,Private sector,LG,Garanti,0-5,3,Yes,Several times in a month,Once in a week,Several times in a month,Several times in a month,Once or several times a year,Never,Never,Never,Never,Never,Never,Once or several times a year,Never,I Prefer Internet Banking,I Prefer Internet Banking,I Prefer Internet Banking,I Prefer Internet Banking,I Prefer Internet Banking,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Once or several times a year,Once or several times a year,Once or several times a year,Never,Never,Never,Never,Never,Never,Once or several times a year,Never,Never,Never,I Prefer Internet Banking,Several times in a month,Never,Once in a month
8,,25-30,,computer engineer,Private sector,HTC,Akbank,0-5,3,No,Several times in a day,Several times in a day,Several times in a month,Once in a month,Once in a month,Never,Never,Never,Never,Several times in a week,,Once in a month,I Prefer Internet Banking,Once in a month,Once in a month,Once in a month,Once in a month,,I Prefer Internet Banking,I Prefer Internet Banking,I Prefer Internet Banking,I Prefer Internet Banking,I Prefer Internet Banking,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,I Prefer Internet Banking,Never,Never,Several times in a month,Several times in a month,Never,Never
9,Man,25-30,Single,Engineer,Private sector,ASUS,Akbank,0-5,3,Yes,Several times in a week,Several times in a week,Several times in a month,Several times in a month,Once or several times a year,Once or several times a year,Once or several times a year,Once or several times a year,Once or several times a year,Once or several times a year,Once or several times a year,Several times in a month,Once or several times a year,Several times in a month,Once or several times a year,Once in a month,Once in a month,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
10,Man,25-30,Single,Engineer,Private sector,ASUS,Isbank,0-5,3,Yes,Several times in a month,Several times in a month,Once in a month,Once in a month,Once or several times a year,Once or several times a year,Once or several times a year,Once or several times a year,Once or several times a year,Once or several times a year,Once or several times a year,Once or several times a year,Once or several times a year,Once or several times a year,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
