ID;Gender;Age;Marital Status;Job;Employment Status;Your Phone Model;Your bank information;How many years you are using internet banking application;How many years you are using mobile banking application;Do you find mobile application user-friendly;Internet banking usage frequency;Mobile banking usage frequency;Credit card debt inquiry;Credit card debt payment;Credit card limit transactions;Create & delete virtual card;Virtual card limit transactions;An additional new card application;Opening a new account;Balance check;Loan transaction;Transfer money to previously transferred account.;Transfer money to new account.;Invoice payment (If it is automatic payment than choose 1);Government payments;GSM transactions;Rent payment;Lottery transactions;HGS / OGS transactions;Tax / penalty transactions;SGK transactions;Bill transactions;Salary payment;Investment account transactions;Foreign money exchange transactions;Gold transactions;Investment fund transactions;Stock transactions;Public offering operations;Repo transactions;Bond transactions;Instant stock exchange transactions;Consumer credit usage;My credit accounts;Applying for mortgage ;Applying for car loan;Findeks risk report;New card application;New account opening;Request status;Foreign exchange calculation;Loan calculation;Make an appointment at a bank branch;Donate transactions;View payment schedule;View bank campaigns;Mobile signature use;Communicating with the bank
1;Man;36-40;Married;;Private sector;SONY;Garanti;15+;7;Yes;2;2;1;1;0.153424657;1;1;-1;-1;1;-1;1;1;1;0.09863013698630137;0.032876712;0.032876712;0.032876712;0;0.09863013698630137;0;;0;0;0;0;0;0;0;0.09863013698630137;0;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
2;Woman;31-35;Married;purchasing;Private sector;SAMSUNG A5;Akbank;10+;7;Yes;0.09863013698630137;0.09863013698630137;0.09863013698630137;0.032876712;0.005479452;0.005479452;0.032876712;0.005479452;0.005479452;0.032876712;0.09863013698630137;0.032876712;0.005479452;0.09863013698630137;0.005479452;0.032876712;0.032876712;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;Woman;20-24;Single;trainer;Private sector;Iphone ;Garanti;0-5;5;No;0.460273;2;0.09863013698630137;0.09863013698630137;-1;0;0;0;0;2;0;2;2;1;1;1;1;0;1;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;-1;0;0;0;0;-1;-1;0;0
4;Woman;20-24;Single;trainer;Private sector;Iphone ;Z?RAAT;0-5;5;No;0.460273;2;0.09863013698630137;0.09863013698630137;-1;0;0;0;0;2;0;2;2;1;1;1;1;0;1;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;-1;0;0;0;0;-1;-1;0;0
5;Woman;20-24;Single;trainer;Private sector;Iphone ;Isbank;0-5;5;No;0.460273;2;0.09863013698630137;0.09863013698630137;-1;0;0;0;0;2;0;2;2;1;1;1;1;0;1;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;-1;0;0;0;0;-1;-1;0;0
6;Man;25-30;Single;;Private sector;SAMSUNG S6;Akbank;0-5;3;Yes;0.09863013698630137;0.153424657;0;0;0;-1;-1;0;0;0.09863013698630137;0;0.032876712;0.005479452;0.09863013698630137;0.09863013698630137;0.032876712;0;0;0;0;0;0;0;-1;0.09863013698630137;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.032876712;0;0;0;-1;0;0;0
7;Man;25-30;Single;computer engineer;Private sector;LG;Garanti;0-5;3;Yes;0.09863013698630137;0.153424657;0.09863013698630137;0.09863013698630137;0.005479452;0;0;0;0;0;0;0.005479452;0;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.005479452;0.005479452;0.005479452;0;0;0;0;0;0;0.005479452;0;0;0;-1;0.09863013698630137;0;0.032876712
8;;25-30;;computer engineer;Private sector;HTC;Akbank;0-5;3;No;2;2;0.09863013698630137;0.032876712;0.032876712;0;0;0;0;0.460273;;0.032876712;-1;0.032876712;0.032876712;0.032876712;0.032876712;;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0.09863013698630137;0.09863013698630137;0;0
9;Man;25-30;Single;Engineer;Private sector;ASUS;Akbank;0-5;3;Yes;0.460273;0.460273;0.09863013698630137;0.09863013698630137;0.005479452;0.005479452;0.005479452;0.005479452;0.005479452;0.005479452;0.005479452;0.09863013698630137;0.005479452;0.09863013698630137;0.005479452;0.032876712;0.032876712;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;Man;25-30;Single;Engineer;Private sector;ASUS;Isbank;0-5;3;Yes;0.09863013698630137;0.09863013698630137;0.032876712;0.032876712;0.005479452;0.005479452;0.005479452;0.005479452;0.005479452;0.005479452;0.005479452;0.005479452;0.005479452;0.005479452;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
